PT_FU_02,PT_N2_05,PT_GO2_04_1,PT_N2_19,PT_FU_01_1,PT_LO2_05,PT_N2_06,PT_GO2_03_1
-18.375490188598633,-1250.420166015625,-375.2786865234375,-75.05684661865234,-500.3780517578125,-375.12701416015625,-374.81597900390625,-374.82452392578125
19.81050682067871,-1251.3433837890625,-375.2479248046875,-75.01378631591797,-499.9269104003906,-374.91162109375,-375.0929870605469,-375.009033203125
7.379288196563721,-1250.7279052734375,-374.8170166015625,-74.9645767211914,-499.9269104003906,-375.4039306640625,-374.9698791503906,-375.0397644042969
-8.467438697814941,-1248.984130859375,-374.7862548828125,-75.00148010253906,-500.3780517578125,-375.2500915527344,-375.0622253417969,-374.9167785644531
3.102210283279419,-1249.8046875,-374.9401550292969,-75.01378631591797,-500.0089416503906,-375.09625244140625,-375.2469177246094,-375.19354248046875
-19.6986141204834,-1250.420166015625,-375.12481689453125,-75.04454040527344,-500.3780517578125,-375.4654846191406,-375.3700256347656,-375.0705261230469
-2.744154930114746,-1249.7021484375,-375.0632629394531,-75.01378631591797,-499.9679260253906,-374.8193054199219,-375.123779296875,-375.2857971191406
9.440900802612305,-1250.93310546875,-374.90936279296875,-74.9645767211914,-499.80389404296875,-375.2193298339844,-375.5239562988281,-375.0397644042969
1.502152442932129,-1249.8046875,-375.0632629394531,-75.01378631591797,-500.0089416503906,-374.880859375,-374.9390869140625,-375.1012878417969
8.24085807800293,-1251.03564453125,-375.15557861328125,-74.94612121582031,-499.68084716796875,-375.0654602050781,-375.4931640625,-375.009033203125
3.4099137783050537,-1250.0098876953125,-374.8785705566406,-75.00148010253906,-500.2550354003906,-375.3116149902344,-375.123779296875,-374.76300048828125
-10.344429969787598,-1249.9073486328125,-374.9709167480469,-74.98918151855469,-500.0089416503906,-375.0346984863281,-375.0929870605469,-375.2857971191406
2.979128837585449,-1250.6253662109375,-375.37103271484375,-75.05684661865234,-500.4600830078125,-375.3731689453125,-375.4931640625,-375.13201904296875
8.14854621887207,-1250.215087890625,-375.3094787597656,-74.98918151855469,-499.63983154296875,-374.97314453125,-375.5239562988281,-375.0705261230469
3.0406696796417236,-1249.7021484375,-375.15557861328125,-75.05068969726562,-500.0089416503906,-375.0346984863281,-374.9083251953125,-374.9167785644531
11.93329906463623,-1249.9073486328125,-374.9401550292969,-75.01378631591797,-500.3370361328125,-375.3424072265625,-375.40081787109375,-375.1012878417969
7.933154106140137,-1250.0098876953125,-375.15557861328125,-75.03839111328125,-500.0089416503906,-374.63470458984375,-374.66204833984375,-375.16278076171875
-13.944560050964355,-1248.881591796875,-374.9709167480469,-75.05684661865234,-500.2550354003906,-375.0039367675781,-374.9083251953125,-374.9167785644531
28.026187896728516,-1250.6253662109375,-375.0940246582031,-74.99533081054688,-499.8448791503906,-374.8193054199219,-374.7236328125,-374.7322692871094
1.1944489479064941,-1250.420166015625,-375.032470703125,-75.00763702392578,-500.0089416503906,-375.0039367675781,-374.9390869140625,-374.8860168457031
1.8406262397766113,-1249.8046875,-374.90936279296875,-75.00148010253906,-500.3780517578125,-375.0654602050781,-374.5081481933594,-375.0705261230469
-12.467583656311035,-1248.7789306640625,-374.9401550292969,-75.06299591064453,-500.2550354003906,-375.0654602050781,-374.9083251953125,-374.9167785644531
3.5329949855804443,-1249.7021484375,-374.9401550292969,-75.01378631591797,-500.3370361328125,-375.3116149902344,-374.9083251953125,-374.79376220703125
-12.159880638122559,-1248.984130859375,-375.1863708496094,-75.05068969726562,-499.9679260253906,-375.0346984863281,-374.9390869140625,-374.9167785644531
8.76395320892334,-1250.7279052734375,-375.2171325683594,-75.00763702392578,-499.63983154296875,-374.66546630859375,-375.03143310546875,-375.3780212402344
0.7328938245773315,-1250.5228271484375,-375.1863708496094,-75.01993560791016,-500.0499572753906,-374.9423828125,-374.8775329589844,-374.947509765625
3.5945358276367188,-1249.599609375,-374.90936279296875,-74.97687530517578,-499.8448791503906,-374.8193054199219,-374.81597900390625,-374.9167785644531
16.61039161682129,-1250.5228271484375,-375.3094787597656,-75.06299591064453,-500.1319885253906,-375.12701416015625,-375.123779296875,-374.947509765625
1.9021668434143066,-1250.215087890625,-375.001708984375,-74.98302459716797,-499.9269104003906,-375.15777587890625,-375.4623718261719,-375.2550354003906
2.609884738922119,-1249.8046875,-374.9709167480469,-75.03224182128906,-500.3370361328125,-374.9423828125,-374.5389404296875,-375.009033203125
10.210159301757812,-1251.03564453125,-375.032470703125,-74.95841979980469,-499.63983154296875,-375.0654602050781,-375.4316101074219,-375.3780212402344
3.4406840801239014,-1249.599609375,-375.0632629394531,-75.04454040527344,-500.3370361328125,-374.9423828125,-374.63128662109375,-374.7015075683594
27.995418548583984,-1250.83056640625,-375.032470703125,-74.95841979980469,-499.59881591796875,-374.66546630859375,-374.4158020019531,-374.8860168457031
