PT_N2_01,PT_N2_03,PT_N2_04,PT_N2_23,PT_GO2_01,PT_GO2_02,PT_H2_01,PT_H2_02,PT_GO2_04_2,PT_FU_05,PT_FU_06,PT_GO2_03_2
-94.3362808227539,-98.24601745605469,-76.62748718261719,-96.8661117553711,-93.41634368896484,-103.99562072753906,-72.02780151367188,-94.56626892089844,108.25556945800781,43.30222702026367,43.30222702026367,-285.9192810058594
-95.25621795654297,-99.16595458984375,-83.06705474853516,-104.2256088256836,-89.04664611816406,-97.55606079101562,-89.96658325195312,-91.57646942138672,108.25556945800781,43.30222702026367,43.30222702026367,-286.2118835449219
-114.11493682861328,-90.19656372070312,-99.39593505859375,-107.44538879394531,-83.75700378417969,-114.11493682861328,-88.81665802001953,-103.07568359375,108.25556945800781,43.30222702026367,43.30222702026367,-286.93572998046875
-98.47599792480469,-111.12513732910156,-84.67694091796875,-116.1847915649414,-95.02623748779297,-100.54586029052734,-91.11650085449219,-104.2256088256836,108.25556945800781,43.30222702026367,43.30222702026367,-286.3197021484375
-108.5953140258789,-95.25621795654297,-101.92576599121094,-114.34491729736328,-87.20677185058594,-116.64476013183594,-87.43675231933594,-106.52545166015625,108.25556945800781,43.30222702026367,43.30222702026367,-287.366943359375
-109.74523162841797,-96.40614318847656,-87.66674041748047,-104.45559692382812,-101.23580932617188,-109.9752197265625,-81.45716094970703,-100.54586029052734,108.25556945800781,43.30222702026367,43.30222702026367,-287.0897521972656
-100.08589172363281,-101.4657974243164,-99.39593505859375,-109.28526306152344,-92.72639465332031,-101.6957778930664,-83.75700378417969,-101.4657974243164,108.25556945800781,43.30222702026367,43.30222702026367,-286.797119140625
-92.95637512207031,-101.6957778930664,-86.7468032836914,-113.88494873046875,-90.65653228759766,-96.63612365722656,-68.34805297851562,-106.75543975830078,108.25556945800781,43.30222702026367,43.30222702026367,-287.6287536621094
-102.15574645996094,-106.06548309326172,-86.05684661865234,-99.62592315673828,-84.67694091796875,-90.19656372070312,-85.82686614990234,-77.54742431640625,108.25556945800781,43.30222702026367,43.30222702026367,-286.596923828125
-101.00582885742188,-94.3362808227539,-101.4657974243164,-78.92733764648438,-81.91712951660156,-90.19656372070312,-66.73816680908203,-101.6957778930664,108.25556945800781,43.30222702026367,43.30222702026367,-284.9952392578125
-100.77584075927734,-82.3770980834961,-100.31587219238281,-83.98699188232422,-78.92733764648438,-81.91712951660156,-64.43832397460938,-97.55606079101562,108.25556945800781,43.30222702026367,43.30222702026367,-285.6266784667969
-78.92733764648438,-89.96658325195312,-87.66674041748047,-75.2475814819336,-81.91712951660156,-77.31744384765625,-75.93753814697266,-79.15731811523438,108.25556945800781,43.30222702026367,43.30222702026367,-286.1040954589844
-86.9767837524414,-93.41634368896484,-70.87788391113281,-73.6376953125,-74.32764434814453,-79.3873062133789,-87.66674041748047,-71.56783294677734,108.25556945800781,43.30222702026367,43.30222702026367,-285.3802490234375
-95.02623748779297,-81.22718048095703,-81.45716094970703,-84.44696044921875,-79.15731811523438,-73.17772674560547,-70.41791534423828,-86.7468032836914,108.25556945800781,43.30222702026367,43.30222702026367,-285.47265625
-95.02623748779297,-84.44696044921875,-86.51681518554688,-72.94773864746094,-95.7161865234375,-82.60708618164062,-79.6172866821289,-69.26799011230469,108.25556945800781,43.30222702026367,43.30222702026367,-285.41107177734375
-83.29703521728516,-83.98699188232422,-84.67694091796875,-94.79624938964844,-75.70755004882812,-91.80645751953125,-66.73816680908203,-84.67694091796875,108.25556945800781,43.30222702026367,43.30222702026367,-285.1954345703125
-90.88652038574219,-78.00739288330078,-98.70598602294922,-92.26642608642578,-87.66674041748047,-89.5066146850586,-72.02780151367188,-95.7161865234375,108.25556945800781,43.30222702026367,43.30222702026367,-285.98089599609375
-89.27662658691406,-94.79624938964844,-88.356689453125,-99.62592315673828,-95.02623748779297,-83.52702331542969,-95.94617462158203,-78.46736145019531,108.25556945800781,43.30222702026367,43.30222702026367,-287.8289794921875
-92.95637512207031,-90.42655181884766,-95.02623748779297,-111.12513732910156,-81.68714904785156,-112.73503112792969,-79.6172866821289,-96.17615509033203,108.25556945800781,43.30222702026367,43.30222702026367,-287.0589294433594
