cRIO Slot,Device Type,,,,,,,,,,,,,,,,
1,9476,,,,,,,,,,,,,,,,
2,9203,,,,,,,,,,,,,,,,
3,9203,,,,,,,,,,,,,,,,
4,9264,,,,,,,,,,,,,,,,
5,9205,,,,,,,,,,,,,,,,
6,9205,,,,,,,,,,,,Scal Offset * ((MaxVal - MinVal)/(MaxOut-MinOut)) * (raw_val - min_out) + Lin Offset,,,,
7,9205,,,,,,,,,,,,,,,,
8,9213,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P&ID Name,DAQ Input,NI Channel,Device,V/C,MinOut,MaxOut,Terminal Config,"MinVal (Pressure, force, etc.)",MaxVal,Units,Lin Offset,Scal Offset,,,,,
PV_LO2_04,DO 10,NI9476_1_21,US Solid,"1 24 pos, 2 24 neg",,,,,,,,,"inverted wiring, fix line",,,,
SN_N2_08,DO 11,NI9476_1_22,Marotta,"1 24 pos, 3 24 neg",,,,,,,,,,,,,
SN_N2_09,DO 12,NI9476_1_15,Marotta,"1 24 pos, 3 24 neg",,,,,,,,,,,,,
SN_GO2_05,DO 13,NI9476_1_18,Marotta,"1 24 pos, 3 24 neg",,,,,,,,,,,,,
SN_H2_03,DO 14,NI9476_1_20,Marotta,"1 24 pos, 3 24 neg",,,,,,,,,,,,,
SN_N2_20,DO 15,NI9476_1_06,Magnatrol,"1 120 pos, 3 120 neg",,,,,,,,,,,,,
SN_N2_13,DO 16,NI9476_1_05,ASCO,"1 120 pos, 3 120 neg",,,,,,,,,,,,,
SN_N2_22,DO 17,NI9476_1_04,ASCO,"1 120 pos, 3 120 neg",,,,,,,,,,,,,
SN_N2_10_1,DO 18,NI9476_1_07,Peter Paul EH22,"1 12 pos, 3 12 neg",,,,,,,,,,,,,
SN_N2_10_2,DO 19,NI9476_1_09,Peter Paul EH22,"1 12 pos, 3 12 neg",,,,,,,,,,,,,
SN_CO2_01,DO 20,NI9476_1_08,Peter Paul EH22,"1 12 pos, 3 12 neg",,,,,,,,,,,,,
SN_N2_11,DO 21,NI9476_1_11,Peter Paul H22,"1 24 pos, 3 24 neg",,,,,,,,,,,,,
SN_N2_12,DO 22,NI9476_1_10,Peter Paul 122,"1 24 pos, 3 24 neg",,,,,,,,,,,,,
Spark_Plug,DO 23,NI9476_1_02,Spark Plug,"1 12+, 3 12- neg",,,,,,,,,,,,,
