PT_N2_12_2,PT_N2_08,PT_LO2_07,PT_N2_15,PT_N2_16,PT_N2_17,PT_FU_01_2,PT_GO2_05
-374.94097900390625,-1250.095458984375,-374.9971008300781,-75.00577545166016,-74.9931411743164,-74.9984359741211,-499.9091491699219,-374.7796936035156
-375.217529296875,-1250.50537109375,-375.0278625488281,-74.9873275756836,-74.98699188232422,-75.0107421875,-499.9091491699219,-374.8411865234375
-374.94097900390625,-1249.7879638671875,-375.0278625488281,-74.99962615966797,-74.9931411743164,-74.97382354736328,-499.9911804199219,-375.11798095703125
-374.8795471191406,-1249.685546875,-374.9048767089844,-74.99962615966797,-75.01158905029297,-74.9984359741211,-499.9911804199219,-374.9334411621094
-375.1253662109375,-1250.6077880859375,-374.93560791015625,-74.950439453125,-74.9808349609375,-75.03535461425781,-499.9091491699219,-375.0257263183594
-374.94097900390625,-1249.8905029296875,-375.1200866699219,-75.0365219116211,-75.01158905029297,-74.9676742553711,-499.6220397949219,-374.8104248046875
-374.63372802734375,-1249.5830078125,-375.1200866699219,-75.0365219116211,-75.0484848022461,-75.0230484008789,-500.1142272949219,-374.9334411621094
-375.27899169921875,-1250.6077880859375,-375.24310302734375,-75.02422332763672,-75.01158905029297,-74.9984359741211,-499.7450866699219,-374.6566467285156
-374.9102783203125,-1249.8905029296875,-375.1816101074219,-75.02422332763672,-74.96853637695312,-74.95536804199219,-499.6630554199219,-375.17950439453125
-375.06390380859375,-1249.8905029296875,-374.96636962890625,-74.98118591308594,-74.98699188232422,-74.97998046875,-500.0732116699219,-375.2102355957031
-374.8795471191406,-1249.7879638671875,-375.0278625488281,-74.99962615966797,-74.98699188232422,-74.98612976074219,-499.8271179199219,-374.9949645996094
-374.9717102050781,-1250.812744140625,-375.0278625488281,-74.99962615966797,-74.98699188232422,-74.98612976074219,-499.9501647949219,-375.05645751953125
-375.217529296875,-1250.6077880859375,-374.96636962890625,-74.9873275756836,-74.98699188232422,-74.97998046875,-500.0732116699219,-374.9949645996094
-375.15606689453125,-1250.6077880859375,-375.1200866699219,-74.9873275756836,-74.95008850097656,-74.95536804199219,-499.5810546875,-374.7181701660156
-374.8180847167969,-1248.9681396484375,-374.6589050292969,-74.950439453125,-74.96853637695312,-74.98612976074219,-500.0321960449219,-375.3025207519531
-374.6951904296875,-1249.685546875,-375.05859375,-75.0365219116211,-74.9992904663086,-75.00459289550781,-499.8681335449219,-374.9334411621094
-375.0946350097656,-1250.095458984375,-374.96636962890625,-74.99347686767578,-74.9808349609375,-74.97382354736328,-499.8271179199219,-374.8104248046875
-375.27899169921875,-1250.812744140625,-375.21234130859375,-75.01807403564453,-75.01158905029297,-74.98612976074219,-499.6630554199219,-374.6566467285156
-375.06390380859375,-1249.0706787109375,-374.7511291503906,-75.01192474365234,-75.02388763427734,-74.98612976074219,-499.9091491699219,-374.9027099609375
-375.27899169921875,-1250.40283203125,-374.9971008300781,-74.9873275756836,-74.9808349609375,-74.9984359741211,-499.9911804199219,-374.9949645996094
-375.00244140625,-1249.173095703125,-374.7511291503906,-74.99347686767578,-75.03618621826172,-75.01689910888672,-499.9091491699219,-374.9949645996094
-374.6951904296875,-1248.9681396484375,-374.68963623046875,-74.95658874511719,-74.94393920898438,-74.94921112060547,-499.6220397949219,-374.7489318847656
-374.9102783203125,-1249.7879638671875,-375.1816101074219,-75.01807403564453,-74.96853637695312,-74.96151733398438,-500.1142272949219,-375.11798095703125
-374.9102783203125,-1249.4805908203125,-374.7511291503906,-74.96273803710938,-74.95623779296875,-74.94921112060547,-499.6630554199219,-374.6874084472656
-374.94097900390625,-1249.992919921875,-374.9971008300781,-74.9873275756836,-74.97468566894531,-74.98612976074219,-499.9911804199219,-375.2102355957031
-374.7566223144531,-1249.685546875,-375.24310302734375,-75.00577545166016,-74.98699188232422,-74.98612976074219,-499.8681335449219,-374.9027099609375
-374.6951904296875,-1249.173095703125,-375.05859375,-75.0365219116211,-74.9992904663086,-75.00459289550781,-499.9091491699219,-374.8719482421875
