TC_LO2_03,TC_GO2_04_1,TC_GO2_04_2,TC_FU_01,TC_GO2_05,TC_H2_03,TC_FU_02,TC_LO2_04,TC_GG_01,TC_FU_04,TC_FU_05,TC_N2_12_1,TC_LO2_05,TC_LO2_07
2296.568359375,21.8681697845459,2296.568359375,2296.568359375,2296.568359375,2296.568359375,2296.568359375,24.563796997070312,2296.568359375,2296.568359375,2296.568359375,2296.568359375,2296.568359375,2296.568359375
2296.47412109375,21.781686782836914,2296.47412109375,2296.47412109375,2296.47412109375,2296.47412109375,2296.47412109375,24.379905700683594,2296.47412109375,2296.47412109375,2296.47412109375,2296.47412109375,2296.47412109375,2296.47412109375
2296.532958984375,21.7976016998291,2296.532958984375,2296.532958984375,2296.532958984375,2296.532958984375,2296.532958984375,24.46986198425293,2296.532958984375,2296.532958984375,2296.532958984375,2296.532958984375,2296.532958984375,2296.532958984375
2296.575927734375,21.96644401550293,2296.575927734375,2296.575927734375,2296.575927734375,2296.575927734375,2296.575927734375,24.441469192504883,2296.575927734375,2296.575927734375,2296.575927734375,2296.575927734375,2296.575927734375,2296.575927734375
2296.52783203125,21.820907592773438,2296.52783203125,2296.52783203125,2296.52783203125,2296.52783203125,2296.52783203125,24.49057388305664,2296.52783203125,2296.52783203125,2296.52783203125,2296.52783203125,2296.52783203125,2296.52783203125
2296.52978515625,21.844079971313477,2296.52978515625,2296.52978515625,2296.52978515625,2296.52978515625,2296.52978515625,24.502384185791016,2296.52978515625,2296.52978515625,2296.52978515625,2296.52978515625,2296.52978515625,2296.52978515625
2296.6025390625,21.832801818847656,2296.6025390625,2296.6025390625,2296.6025390625,2296.6025390625,2296.6025390625,24.45513343811035,2296.6025390625,2296.6025390625,2296.6025390625,2296.6025390625,2296.6025390625,2296.6025390625
2296.558349609375,21.876243591308594,2296.558349609375,2296.558349609375,2296.558349609375,2296.558349609375,2296.558349609375,24.584774017333984,2296.558349609375,2296.558349609375,2296.558349609375,2296.558349609375,2296.558349609375,2296.558349609375
2296.59033203125,21.873233795166016,2296.59033203125,2296.59033203125,2296.59033203125,2296.59033203125,2296.59033203125,24.600231170654297,2296.59033203125,2296.59033203125,2296.59033203125,2296.59033203125,2296.59033203125,2296.59033203125
2296.5361328125,21.845291137695312,2296.5361328125,2296.5361328125,2296.5361328125,2296.5361328125,2296.5361328125,24.430208206176758,2296.5361328125,2296.5361328125,2296.5361328125,2296.5361328125,2296.5361328125,2296.5361328125
2296.549560546875,21.887914657592773,2296.549560546875,2296.549560546875,2296.549560546875,2296.549560546875,2296.549560546875,24.483348846435547,2296.549560546875,2296.549560546875,2296.549560546875,2296.549560546875,2296.549560546875,2296.549560546875
2296.380615234375,21.847028732299805,2296.380615234375,2296.380615234375,2296.380615234375,2296.380615234375,2296.380615234375,24.416481018066406,2296.380615234375,2296.380615234375,2296.380615234375,2296.380615234375,2296.380615234375,2296.380615234375
2296.5478515625,21.780168533325195,2296.5478515625,2296.5478515625,2296.5478515625,2296.5478515625,2296.5478515625,24.520315170288086,2296.5478515625,2296.5478515625,2296.5478515625,2296.5478515625,2296.5478515625,2296.5478515625
2296.48291015625,21.840957641601562,2296.48291015625,2296.48291015625,2296.48291015625,2296.48291015625,2296.48291015625,24.44849967956543,2296.48291015625,2296.48291015625,2296.48291015625,2296.48291015625,2296.48291015625,2296.48291015625
2296.411865234375,21.74537467956543,2296.411865234375,2296.411865234375,2296.411865234375,2296.411865234375,2296.411865234375,24.433683395385742,2296.411865234375,2296.411865234375,2296.411865234375,2296.411865234375,2296.411865234375,2296.411865234375
2296.45263671875,21.781679153442383,2296.45263671875,2296.45263671875,2296.45263671875,2296.45263671875,2296.45263671875,24.390975952148438,2296.45263671875,2296.45263671875,2296.45263671875,2296.45263671875,2296.45263671875,2296.45263671875
2296.46728515625,21.902172088623047,2296.46728515625,2296.46728515625,2296.46728515625,2296.46728515625,2296.46728515625,24.42349624633789,2296.46728515625,2296.46728515625,2296.46728515625,2296.46728515625,2296.46728515625,2296.46728515625
2296.452880859375,21.84702491760254,2296.452880859375,2296.452880859375,2296.452880859375,2296.452880859375,2296.452880859375,24.383012771606445,2296.452880859375,2296.452880859375,2296.452880859375,2296.452880859375,2296.452880859375,2296.452880859375
2296.673828125,21.899675369262695,2296.673828125,2296.673828125,2296.673828125,2296.673828125,2296.673828125,24.6877498626709,2296.673828125,2296.673828125,2296.673828125,2296.673828125,2296.673828125,2296.673828125
2296.6220703125,21.766130447387695,2296.6220703125,2296.6220703125,2296.6220703125,2296.6220703125,2296.6220703125,24.510234832763672,2296.6220703125,2296.6220703125,2296.6220703125,2296.6220703125,2296.6220703125,2296.6220703125
2296.504638671875,21.756162643432617,2296.504638671875,2296.504638671875,2296.504638671875,2296.504638671875,2296.504638671875,24.461292266845703,2296.504638671875,2296.504638671875,2296.504638671875,2296.504638671875,2296.504638671875,2296.504638671875
2296.5458984375,21.9056453704834,2296.5458984375,2296.5458984375,2296.5458984375,2296.5458984375,2296.5458984375,24.421653747558594,2296.5458984375,2296.5458984375,2296.5458984375,2296.5458984375,2296.5458984375,2296.5458984375
